administrative_level_name,administrative_level_id
TOLA,294
MONDOFOALI,295
KPAKPARGA,296
MANDOURI CENTRE,297
ENAMOUFALE,298
BARWAGA,300
BOURGOU,301
DOUANLI,302
KAMOU,303
KOUMPALI,304
KPENTINGA,305
OTCHINDIGOU,306
PANSIERI,307
SANKPAMA,308
TAMBIGOU-CENTRE,309
TCHARKPANGA,310
WANDIGOU,311
BANTIGOU,312
TIMONGA,313
BONGONGONA (PAPRI),317
DJAGOGA,318
GBAMONTE,319
GNIYARTIGOU,320
GNOUMBONGUE,321
IBIAGA,322
KOUAMPANTE 1,323
KOUAMPANTE 2,324
KPENDJAGA (PAPRI),325
KPENDJAGA-BAS,326
NAMOUNO,327
NATCHIMBATE,328
ONADJOA,329
PAPRI-ZONGO,330
SALAMBAGOU (PAPRI),331
TOLOLE,332
TOMONE (PAPRI),333
TOUMPORGOU 1,334
KPENBONA,335
KPENDJAGA CENTRE,336
GNOUMONGUE,337
PAPRI-CENTRE,338
BABOGOU,339
TANKPAGLE,340
SINANGBANGBANGOU,341
TANTIAGA,342
BALSONGUE,343
KPENTIDJOUAGA,344
TCHAMBOATE,345
TOUMPORGOU 2,346
NASSIEGOU (PAPRI),347
NASSONGUE (PAPRI),348
BANANGANDI 1,350
BANANGANDI 2,351
DIELO,352
DJANKOUNGLI (POGNO),353
DJIBONTOTI,354
EDOGA 1,355
GBANGA,356
GNUNDJAGA,357
KPEMBOLE (POGNO),358
LIDOLE,359
NADANO (POGNO),360
POGNO CENTRE,361
SALAMBAGOU (POGNO),362
TAMBIMONGUE (POGNO),363
TANFIAGOU,364
TCHIMOURI,365
TIMANGA (POGNO),366
GROUPEMENT PEUHL,367
NAGROUME,368
EGABONGUE,369
DJIGNANDJOAGA,370
EKPEGUIBONGUE,371
EDOGA 2,372
EDOGA 3,373
TOLANKATIGA 1 (POGNO),374
TANLOAGA (POGNO),375
BOTOLONGA (POGNO),376
NAGOUNI,380
KEREKETE,381
AKPOSSOU,382
BIGOU,383
KADJITIERI 1,384
KADJITIERI 2,385
NAMBOESSOU,386
TAMBINAMONE,387
POLITI,388
GANLANGASHI CENTRE,389
KPANDJINI,390
KOUWAKOU,391
FAREO,394
NANTCHARE,395
TADERI,396
FARE-CENTRE,397
MAYEFOUKOU,398
BONZOUKOU,400
BOULORI,401
GNANGBANDI (MANGO),402
MAGNA,403
MANTCHE (MANGO),404
NAGBATI,405
NAKORKOU,406
TCHANFIERI,407
TCHIRI,408
KOUMBELOTI,409
KOKOMBOU,410
FOMBORO,411
TCHANWIEKOU,412
ZONGO (MANGO),413
DOUANE-EST,414
DOUANE-OUEST,415
TCHATCHABOU,416
DJABOU,417
TIEKOU,418
SANGBANA,419
DJAGORI (SADORI),421
DJALONDI,422
KOUMONGOUKAN,423
NAKPIEKOU,424
PADORI,425
PAYOUKOU,426
SADORI NAGBAKOU,427
SADORI TIEBA,428
LANLALE,432
DJOULE-TCHAMONGA,433
NASSIKA,434
NAKOTI,435
NABILE,436
YACLE,437
N'GAMBI,438
TAKPAPIENI,439
WOGOU,440
WOGOU-SAPIEKOU,441
NADAONG,442
GBATENI,443
NADJANKARKOU,444
NAKPOKLE,445
SAKOU,446
NAKPATI,447
DJANKPANI,448
KPANDJIBOU,449
KPEGNINI,450
TRIGNAGA,451
BARRAGE,452
SIKPANLE,453
DJEBOURI,454
NOAMONI,455
DJE-DJABOU,456
ZONGO,457
TONTONDI,459
TOKPLI,460
NAYOH,461
KOUANGA,462
KOLDAGA,463
DANWAGA,464
NAKPADJOGA,465
NADAGA,466
NATCHITONI,467
NANTIAGA,468
KOUNASSIKOU,469
FIEGOU,470
KOUSSIKOU,471
GBETI,472
TCHITCHEREGA,473
TCHONTCHONGA,474
DJAHALE,475
KOUNGNIERI,476
NAGOURI,477
TAMPACTI,478
MABOU,479
TCHAMKPERE,480
BAKANOU,481
BONTROGA,482
MOGOU CENTRE,483
NATOUNDI,484
KPENTCHANI,485
LIKPOKLI,486
NAMOUMALE,487
NAGBEKTI,488
KPONG,489
DJAHANI,490
DJANKPETELI,492
IBASSANDJA,493
KOROKOU,494
KPOKOU,495
KPOKOU-TOPIENGA,496
NADENGOU,497
NATEMBAGA,498
NAWOUTIENI,499
SIMBO,500
TODJAKOU,501
TOPIENGA,502
DAKPALI 1,503
DAKPALI 2,504
GBENGBEMONGOU,505
BOTCHAKOU,506
KOULANIERI,507
TCHAMONGA CENTRE,508
KARKOU,509
DJONI,512
KABOUFIESSOU,513
KPABEDIKA,514
KPARE,515
NABOUTIBOU,516
NAGANGOU,517
NALI CENTRE,518
NALOBA,519
NALOKOU,520
NASSOUKOU,521
NOMBA,522
TABABOU,523
TOULEBA,524
WANGBANDI,525
NALI ANGOH,526
KPAKPABOU,527
NANGBANGOU,528
KANTCHANGOU,529
TCHAABA,530
WANKOBA,531
KPANKPANSSOU,532
DJADODO,534
DJANDJATIE,535
LENIDO,536
NAMBOSSI,537
NAMOUKOU,538
TRIBONGOU,539
TAKPAMBA-CENTRE,540
N'KPE 1,541
N'KPE 2,542
KOUNDANDO,543
INFOUTCHE,544
WALTE,545
MANTA-OTI,546
SAPOLI,547
BORE,548
N'LIKPA,549
DJANDJATE-KOUMONGOU,550
LIGBANDO,551
KARBONGO,552
TCHANTCHARASSOU,553
NANGOLOUGOU,554
GNOLI,555
DJIRIDJO,556
KEREKETE-NOU,557
DAPAONG,561
DALAGOU CENTRE,563
DALAGOU 1,564
GNIYENDIGUE,565
KOURIENTRE CENTRE,566
KOURIENTRE 1,567
KOURIENTRE 2,568
KOURIENTRE 3,569
KPALMOTONG,570
KPATOTE CENTRE,571
KPATOTE 1 (KOURIENTRE),572
KPATOTE 2 (KOURIENTRE),573
KPEGUIBONGUE,574
KPONG CENTRE,575
KPONG 1,576
KPONG 2,577
KPONG MOSSI,578
LONGUE MOSSI,579
NAKPEBONGUE,580
TCHIEGLE CENTRE,581
